Title,Average Rating,Director,Metascore
The Shawshank Redemption,9.3,Frank Darabont,82.0
Attack on Titan the Movie: The Last Attack,9.3,Yûichirô Hayashi,
The Godfather,9.2,Francis Ford Coppola,100.0
Hababam Sinifi,9.2,Ertem Egilmez,
Ramayana: The Legend of Prince Rama,9.2,"Ram Mohan, Yûgô Sakô, Koichi Saski",
The Silence of Swastika,9.1,Anuj Bhardwaj,
Maya Bazaar,9.1,Kadiri Venkata Reddy,
The Dark Knight,9.0,Christopher Nolan,84.0
Schindler's List,9.0,Steven Spielberg,95.0
12 Angry Men,9.0,Sidney Lumet,97.0
The Godfather: Part II,9.0,Francis Ford Coppola,90.0
The Lord of the Rings: The Return of the King,9.0,Peter Jackson,94.0
Sandesham,9.0,Sathyan Anthikad,
Oggatonama,9.0,Tauquir Ahmed,
The Lord of the Rings: The Fellowship of the Ring,8.9,Peter Jackson,92.0
Pulp Fiction,8.9,Quentin Tarantino,95.0
I'm Still Here,8.9,Walter Salles,79.0
O.J.: Made in America,8.9,Ezra Edelman,
The Message,8.9,Moustapha Akkad,
Tosun Pasa,8.9,Kartal Tibet,
Mirror Game,8.9,Amitabh Reza Chowdhury,
Hababam Sinifi: Sinifta Kaldi,8.9,Ertem Egilmez,
Kireedam,8.9,Sibi Malayil,
Inception,8.8,Christopher Nolan,74.0
Fight Club,8.8,David Fincher,67.0
Forrest Gump,8.8,Robert Zemeckis,82.0
12th Fail,8.8,Vidhu Vinod Chopra,
"Il Buono, Il Brutto, Il Cattivo",8.8,Sergio Leone,90.0
The Lord of the Rings: The Two Towers,8.8,Peter Jackson,87.0
The Phantom of the Opera at the Royal Albert Hall,8.8,"Nick Morris, Laurence Connor",
Demon Slayer: Tsuzumi Mansion Arc,8.8,Haruo Sotozaki,
Les Misérables in Concert: The 25th Anniversary,8.8,"Nick Morris, Laurence Connor, James Powell",
The Human Condition III: A Soldier's Prayer,8.8,Masaki Kobayashi,
#Home,8.8,Rojin Thomas,
Balkanski spijun,8.8,"Dusan Kovacevic, Bozidar 'Bota' Nikolic",
Maratonci trce pocasni krug,8.8,Slobodan Sijan,
The Last Farmer,8.8,M. Manikandan,
Natsamrat,8.8,"Mahesh Manjrekar, Satish Padwal",
Süt Kardesler,8.8,Ertem Egilmez,
C/O Kancharapalem,8.8,Venkatesh Maha,
Monpura,8.8,"Md. Hafizur Rahman, Giasuddin Selim",
Nadodikkattu,8.8,Sathyan Anthikad,
Aparajito,8.8,Anik Datta,
Nuvvu Naaku Nachchav,8.8,Vijay K. Bhaskar,
Interstellar,8.7,Christopher Nolan,74.0
GoodFellas,8.7,Martin Scorsese,92.0
The Matrix,8.7,"Lana Wachowski, Lilly Wachowski",73.0
