Title,Average Rating,Director,Budget
The Shawshank Redemption,9.3,Frank Darabont,"$25,000,000 (estimated)"
Attack on Titan the Movie: The Last Attack,9.3,Yûichirô Hayashi,
The Godfather,9.2,Francis Ford Coppola,"$6,000,000 (estimated)"
Hababam Sinifi,9.2,Ertem Egilmez,
Ramayana: The Legend of Prince Rama,9.2,"Ram Mohan, Yûgô Sakô, Koichi Saski",
The Silence of Swastika,9.1,Anuj Bhardwaj,
Maya Bazaar,9.1,Kadiri Venkata Reddy,
The Dark Knight,9.0,Christopher Nolan,"$185,000,000 (estimated)"
Schindler's List,9.0,Steven Spielberg,"$22,000,000 (estimated)"
12 Angry Men,9.0,Sidney Lumet,"$350,000 (estimated)"
The Godfather: Part II,9.0,Francis Ford Coppola,"$13,000,000 (estimated)"
The Lord of the Rings: The Return of the King,9.0,Peter Jackson,"$94,000,000 (estimated)"
Sandesham,9.0,Sathyan Anthikad,
Oggatonama,9.0,Tauquir Ahmed,
The Lord of the Rings: The Fellowship of the Ring,8.9,Peter Jackson,"$93,000,000 (estimated)"
Pulp Fiction,8.9,Quentin Tarantino,"$8,000,000 (estimated)"
I'm Still Here,8.9,Walter Salles,"R$8,000,000 (estimated)"
O.J.: Made in America,8.9,Ezra Edelman,
The Message,8.9,Moustapha Akkad,
Tosun Pasa,8.9,Kartal Tibet,
Mirror Game,8.9,Amitabh Reza Chowdhury,"BDT 35,000,000 (estimated)"
Hababam Sinifi: Sinifta Kaldi,8.9,Ertem Egilmez,
Kireedam,8.9,Sibi Malayil,
Inception,8.8,Christopher Nolan,"$160,000,000 (estimated)"
Fight Club,8.8,David Fincher,"$63,000,000 (estimated)"
Forrest Gump,8.8,Robert Zemeckis,"$55,000,000 (estimated)"
12th Fail,8.8,Vidhu Vinod Chopra,
"Il Buono, Il Brutto, Il Cattivo",8.8,Sergio Leone,"$1,200,000 (estimated)"
The Lord of the Rings: The Two Towers,8.8,Peter Jackson,"$94,000,000 (estimated)"
The Phantom of the Opera at the Royal Albert Hall,8.8,"Nick Morris, Laurence Connor",
Demon Slayer: Tsuzumi Mansion Arc,8.8,Haruo Sotozaki,
Les Misérables in Concert: The 25th Anniversary,8.8,"Nick Morris, Laurence Connor, James Powell",
The Human Condition III: A Soldier's Prayer,8.8,Masaki Kobayashi,
#Home,8.8,Rojin Thomas,
Balkanski spijun,8.8,"Dusan Kovacevic, Bozidar 'Bota' Nikolic",
Maratonci trce pocasni krug,8.8,Slobodan Sijan,
The Last Farmer,8.8,M. Manikandan,
Natsamrat,8.8,"Mahesh Manjrekar, Satish Padwal",
Süt Kardesler,8.8,Ertem Egilmez,
C/O Kancharapalem,8.8,Venkatesh Maha,
Monpura,8.8,"Md. Hafizur Rahman, Giasuddin Selim",
Nadodikkattu,8.8,Sathyan Anthikad,
Aparajito,8.8,Anik Datta,
Nuvvu Naaku Nachchav,8.8,Vijay K. Bhaskar,
Interstellar,8.7,Christopher Nolan,"$165,000,000 (estimated)"
GoodFellas,8.7,Martin Scorsese,"$25,000,000 (estimated)"
The Matrix,8.7,"Lana Wachowski, Lilly Wachowski","$63,000,000 (estimated)"
One Flew Over the Cuckoo's Nest,8.7,Milos Forman,"$3,000,000 (estimated)"
Star Wars: Episode V - The Empire Strikes Back,8.7,Irvin Kershner,"$18,000,000 (estimated)"
Jai Bhim,8.7,T.J. Gnanavel,
Kill Bill: The Whole Bloody Affair,8.7,Quentin Tarantino,
Stop Making Sense,8.7,Jonathan Demme,"$1,200,000 (estimated)"
Sabari,8.7,Anilkatz,
Kalinga,8.7,Dhruva Vaayu,
Soorarai Pottru,8.7,Sudha Kongara,"₹150,000,000 (estimated)"
Shoah,8.7,Claude Lanzmann,
777 Charlie,8.7,Kiranraj K,
Toma,8.7,"Dragan Bjelogrlic, Zoran Lisinac",
Nayakan,8.7,Mani Ratnam,"₹10,000,000 (estimated)"
Rocketry: The Nambi Effect,8.7,Madhavan,"₹600,000,000 (estimated)"
Daman,8.7,"Lenka Debiprasad, Vishal Mourya","₹25,000,000 (estimated)"
Manichitrathazhu,8.7,Fazil,
Peranbu,8.7,Ram,"₹70,000,000 (estimated)"
Saban Oglu Saban,8.7,Ertem Egilmez,
Ko to Tamo Peva?,8.7,Slobodan Sijan,
Pariyerum Perumal,8.7,Mari Selvaraj,
Thevar Magan,8.7,Bharathan,
Kimetsu No Yaiba: Natagumo Yama Hen,8.7,Haruo Sotozaki,
Devasuram,8.7,I.V. Sasi,
Kibar Feyzo,8.7,Atif Yilmaz,
Zügürt Aga,8.7,Nesli Çölgeçen,
Neseli Günler,8.7,Orhan Aksoy,
Hababam Sinifi: Uyaniyor,8.7,Ertem Egilmez,
Oru Vadakkan Veeragatha,8.7,T. Hariharan,"₹9,800,000 (estimated)"
Se7en,8.6,David Fincher,"$33,000,000 (estimated)"
The Silence of the Lambs,8.6,Jonathan Demme,"$19,000,000 (estimated)"
It's a Wonderful Life,8.6,Frank Capra,"$3,180,000 (estimated)"
Spider-man: Across the Spider-verse,8.6,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","$150,000,000 (estimated)"
Saving Private Ryan,8.6,Steven Spielberg,"$70,000,000 (estimated)"
The Green Mile,8.6,Frank Darabont,"$60,000,000 (estimated)"
City of God,8.6,"Fernando Meirelles, Kátia Lund","R$3,300,000 (estimated)"
