Title,Average Rating,Worldwide Gross
The Shawshank Redemption,9.3,"$29,332,133"
Attack on Titan the Movie: The Last Attack,9.3,"$3,513,659"
The Godfather,9.2,"$250,342,198"
Hababam Sinifi,9.2,
Ramayana: The Legend of Prince Rama,9.2,
The Silence of Swastika,9.1,
Maya Bazaar,9.1,
The Dark Knight,9.0,"$1,009,053,678"
Schindler's List,9.0,"$322,161,245"
12 Angry Men,9.0,"$2,945"
The Godfather: Part II,9.0,"$47,964,222"
The Lord of the Rings: The Return of the King,9.0,"$1,138,263,151"
Sandesham,9.0,
Oggatonama,9.0,
The Lord of the Rings: The Fellowship of the Ring,8.9,"$888,159,923"
Pulp Fiction,8.9,"$213,928,762"
I'm Still Here,8.9,"$6,600,000"
O.J.: Made in America,8.9,
The Message,8.9,
Tosun Pasa,8.9,
Mirror Game,8.9,
Hababam Sinifi: Sinifta Kaldi,8.9,
Kireedam,8.9,"$181,001"
Inception,8.8,"$839,030,630"
Fight Club,8.8,"$101,321,009"
Forrest Gump,8.8,"$678,226,465"
12th Fail,8.8,"$138,288"
"Il Buono, Il Brutto, Il Cattivo",8.8,"$25,264,999"
The Lord of the Rings: The Two Towers,8.8,"$938,242,927"
The Phantom of the Opera at the Royal Albert Hall,8.8,"$5,247,282"
Demon Slayer: Tsuzumi Mansion Arc,8.8,"$67,358"
Les Misérables in Concert: The 25th Anniversary,8.8,"$742,004"
The Human Condition III: A Soldier's Prayer,8.8,
#Home,8.8,
Balkanski spijun,8.8,
Maratonci trce pocasni krug,8.8,
The Last Farmer,8.8,"$5,800"
Natsamrat,8.8,$633
Süt Kardesler,8.8,
C/O Kancharapalem,8.8,
Monpura,8.8,
Nadodikkattu,8.8,
Aparajito,8.8,"$18,068"
Nuvvu Naaku Nachchav,8.8,
Interstellar,8.7,"$732,055,745"
GoodFellas,8.7,"$47,054,352"
The Matrix,8.7,"$467,840,449"
One Flew Over the Cuckoo's Nest,8.7,"$109,115,366"
Star Wars: Episode V - The Empire Strikes Back,8.7,"$550,016,086"
Jai Bhim,8.7,
Kill Bill: The Whole Bloody Affair,8.7,
Stop Making Sense,8.7,"$13,001,597"
Sabari,8.7,
Kalinga,8.7,"$3,914"
Soorarai Pottru,8.7,
Shoah,8.7,"$20,175"
777 Charlie,8.7,"$7,523,995"
Toma,8.7,"$3,256,411"
Nayakan,8.7,
Rocketry: The Nambi Effect,8.7,"$398,615"
Daman,8.7,
Manichitrathazhu,8.7,"$82,307"
Peranbu,8.7,"$3,417"
Saban Oglu Saban,8.7,
Ko to Tamo Peva?,8.7,
Pariyerum Perumal,8.7,
Thevar Magan,8.7,
Kimetsu No Yaiba: Natagumo Yama Hen,8.7,"$301,723"
Devasuram,8.7,
Kibar Feyzo,8.7,
Zügürt Aga,8.7,
Neseli Günler,8.7,
Hababam Sinifi: Uyaniyor,8.7,
Oru Vadakkan Veeragatha,8.7,
Se7en,8.6,"$327,333,559"
The Silence of the Lambs,8.6,"$272,742,922"
It's a Wonderful Life,8.6,"$9,767,242"
Spider-man: Across the Spider-verse,8.6,"$690,824,738"
Saving Private Ryan,8.6,"$482,351,251"
The Green Mile,8.6,"$286,801,374"
City of God,8.6,"$30,680,793"
Terminator 2: Judgment Day,8.6,"$517,778,573"
Star Wars: Episode IV - A New Hope,8.6,"$775,398,507"
Spirited Away,8.6,"$358,110,581"
Life Is Beautiful,8.6,"$230,099,013"
Shichinin No Samurai,8.6,"$1,063,061"
Seppuku,8.6,"$15,222"
The Kashmir Files,8.6,"$24,821,898"
Earthlings,8.6,
A Dog's Will,8.6,"$6,281,890"
Kaiva,8.6,
The Legend of Maula Jatt,8.6,"$13,941,539"
Pretty village pretty flame,8.6,$211
Anbe Sivam,8.6,
Lajanje na zvezde,8.6,
Pink Floyd: Live at Pompeii,8.6,
Thoovanathumbikal,8.6,
Spadikam,8.6,"$62,313"
Human,8.6,"$80,410"
Canim Kardesim,8.6,
A tanú,8.6,
Hababam Sinifi: Tatilde,8.6,
Chithram,8.6,
Poove Unakkaga,8.6,
Gladiator,8.5,"$465,516,248"
Dune: Part Two,8.5,"$714,444,358"
Alien,8.5,"$108,610,218"
Amaran,8.5,"$1,717,804"
Django Unchained,8.5,"$426,076,293"
Parasite,8.5,"$262,129,969"
Whiplash,8.5,"$50,360,880"
The Departed,8.5,"$291,481,358"
Léon,8.5,"$20,278,356"
The Prestige,8.5,"$109,676,311"
Back to the Future,8.5,"$384,577,472"
Psycho,8.5,"$32,066,765"
The Lion King,8.5,"$981,708,285"
American History X,8.5,"$23,875,714"
The Usual Suspects,8.5,"$23,341,568"
The Pianist,8.5,"$120,098,945"
Intouchables,8.5,"$426,590,315"
Maharaja,8.5,"$975,543"
Grave of the Fireflies,8.5,"$801,143"
Casablanca,8.5,"$4,720,495"
C'era Una Volta Il West,8.5,"$5,435,312"
Cinema Paradiso,8.5,"$13,020,497"
Rear Window,8.5,"$37,043,820"
Modern Times,8.5,"$463,618"
Dear Zachary: A Letter to a Son About His Father,8.5,"$18,334"
City Lights,8.5,"$55,154"
Senna,8.5,"$10,197,661"
20 Days in Mariupol,8.5,"$34,703"
Baraka,8.5,"$1,346,497"
Sita Ramam,8.5,"$2,208,029"
Woman in the Dunes,8.5,
96,8.5,"$616,333"
La meglio gioventù,8.5,"$2,799,773"
The Fifth Seal,8.5,
Intoxicated by Love,8.5,
The Hole,8.5,"$34,588"
Ningen no jôken,8.5,
Kumbalangi Nights,8.5,"$1,312,005"
For Sama,8.5,"$1,397,546"
Jersey,8.5,"$204,669"
Sarpatta Parambarai,8.5,
Ningen no jôken,8.5,
Michael Madana Kama Rajan,8.5,
Aaranya Kaandam,8.5,"₹70,000,000"
Madar,8.5,
Gol Maal,8.5,
Varljivo leto '68,8.5,
Home,8.5,"$1,857,172"
Zübük,8.5,
Thalapathi,8.5,"₹106,000,000"
Çöpçüler Krali,8.5,
Selvi Boylum Al Yazmalim,8.5,"$45,123"
Sachin,8.5,"$288,557"
Roger Waters: The Wall,8.5,"$2,214,417"
Graves End,8.5,
Methagu,8.5,"$1,577"
BTS: Permission to Dance on Stage - LA,8.5,
Inglourious Basterds,8.4,"$321,460,456"
Joker,8.4,"$1,078,958,629"
The Dark Knight Rises,8.4,"$1,114,975,066"
Avengers: Endgame,8.4,"$2,799,439,100"
The Shining,8.4,"$47,959,450"
Alien 2,8.4,"$131,060,248"
Apocalypse Now,8.4,"$105,090,566"
Memento,8.4,"$40,047,236"
Raiders of the Lost Ark,8.4,"$389,925,971"
Avengers: Infinity War,8.4,"$2,052,415,039"
Meiyazhagan,8.4,"$393,589"
Coco,8.4,"$814,641,172"
Spider-Man: Into the Spider-Verse,8.4,"$393,602,435"
Das Leben der Anderen,8.4,"$77,672,685"
WALL·E,8.4,"$527,403,656"
Amadeus,8.4,"$52,075,942"
Kimi No Na Wa.,8.4,"$405,340,703"
Sunset Blvd.,8.4,"$308,663"
Capharnaüm,8.4,"$64,417,003"
Das Boot,8.4,"$11,488,778"
Laapataa Ladies,8.4,"$108,886"
3 Idiots,8.4,"$60,262,836"
Paths of Glory,8.4,"$8,290"
Witness for the Prosecution,8.4,"$7,903"
The Great Dictator,8.4,"$972,212"
Tengoku to Jigoku,8.4,"$53,170"
Samsara,8.4,"$4,426,444"
The Salt of the Earth,8.4,"$5,412,466"
The Cove,8.4,"$1,187,434"
Kaithi,8.4,"$522,938"
Flåklypa Grand Prix,8.4,
Vada Chennai,8.4,"$472,865"
Sansho the Bailiff,8.4,"$5,267"
Asuran,8.4,"$379,728"
Drishyam 2,8.4,"$3,841"
Lizard,8.4,
Attack on Titan: Chronicle,8.4,"$42,908"
Kad porastem bicu Kengur,8.4,"$13,793"
Filantropica,8.4,"$20,795"
Black Friday,8.4,"$1,610,897"
Thani Oruvan,8.4,
Apur Sansar,8.4,"$134,241"
Sigur Rós: Heima,8.4,"$36,229"
Mahanati,8.4,"$279,078"
Profesionalac,8.4,
Visaaranai,8.4,"$1,943"
Taylor Swift: Folklore - The Long Pond Studio Sessions,8.4,
Muhsin Bey,8.4,
Pawankhind,8.4,"$4,260,686"
Mudhalvan,8.4,"₹500,000,000"
Operatsiya 'Y' i drugie priklyucheniya Shurika,8.4,"$19,314,000"
Virumandi,8.4,"₹476,950,000"
Gülen Gözler,8.4,
The Last Crusade,8.4,
Papanasam,8.4,"$586,973"
Pudhu Pettai,8.4,"$4,652"
Mandela,8.4,
Kapicilar Krali,8.4,
Ulidavaru Kandanthe,8.4,
Iruvar,8.4,
Kannathil Muthamittal,8.4,
Bizim Aile,8.4,
The Wild Robot,8.3,"$318,387,315"
Oppenheimer,8.3,"$975,594,978"
Good Will Hunting,8.3,"$225,933,435"
Eternal Sunshine of the Spotless Mind,8.3,"$73,395,181"
Requiem for a Dream,8.3,"$7,390,108"
American Beauty,8.3,"$356,296,601"
Heat,8.3,"$187,436,818"
The Remarkable Life of Ibelin,8.3,"$1,303,564"
Oldeuboi,8.3,"$17,592,355"
Braveheart,8.3,"$213,216,216"
Scarface,8.3,"$66,443,303"
Jagten,8.3,"$15,886,373"
2001: A Space Odyssey,8.3,"$66,764,997"
Once Upon a Time in America,8.3,"$5,475,540"
Reservoir Dogs,8.3,"$2,931,191"
Toy Story,8.3,"$394,436,586"
Incendies,8.3,"$6,797,861"
Hamilton,8.3,
Idi I Smotri,8.3,"$20,929,648"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,"$9,631,984"
Le fabuleux destin d'Amélie Poulain,8.3,"$175,183,052"
Lawrence of Arabia,8.3,"$45,763,719"
Up,8.3,"$735,102,136"
Star Wars: Episode VI - Return of the Jedi,8.3,"$482,466,382"
Mononoke-hime,8.3,"$170,338,626"
Double Indemnity,8.3,"$19,543"
North by Northwest,8.3,"$192,323"
Toy Story 3,8.3,"$1,067,316,101"
