TITLE,MAIN_GENRE,MAIN_PRODUCTION
White Christmas,romance,US
The Guns of Navarone,war,US
My Fair Lady,drama,US
Bonnie and Clyde,drama,US
Dirty Harry,thriller,US
The Exorcist,horror,US
Monty Python and the Holy Grail,comedy,GB
Taxi Driver,crime,US
Life of Brian,comedy,GB
The Blue Lagoon,romance,US
Annie,drama,US
Christine,horror,US
Once Upon a Time in America,drama,US
Stand by Me,drama,US
Full Metal Jacket,drama,GB
When Harry Met Sally...,romance,US
Awakenings,drama,US
My Girl,comedy,US
A River Runs Through It,drama,US
Menace II Society,drama,US
Forrest Gump,drama,US
Desperado,thriller,US
Happy Gilmore,comedy,US
Neon Genesis Evangelion: The End of Evangelion,scifi,JP
Saving Private Ryan,drama,US
"Girl, Interrupted",drama,US
The Patriot,drama,DE
Lagaan: Once Upon a Time in India,drama,IN
Road to Perdition,thriller,US
Big Fish,drama,US
Swades,drama,IN
Memoirs of a Geisha,drama,FR
Rang De Basanti,comedy,IN
Like Stars on Earth,drama,IN
Ip Man,drama,HK
3 Idiots,comedy,IN
Inception,scifi,GB
Warrior,drama,US
Django Unchained,western,US
Rush,drama,US
Queen,drama,IN
Drishyam,thriller,IN
Dangal,action,IN
Bāhubali 2: The Conclusion,fantasy,IN
Andhadhun,thriller,IN
Dave Chappelle: Sticks & Stones,comedy,US
David Attenborough: A Life on Our Planet,documentary,GB
Bo Burnham: Inside,comedy,US
The Tinder Swindler,crime,GB
