Name,Year,Viewers
The Shawshank Redemption,1994,3M
The Godfather,1972,2.1M
The Dark Knight,2008,2.9M
The Godfather Part II,1974,1.4M
12 Angry Men,1957,894K
The Lord of the Rings: The Return of the King,2003,2M
Schindler's List,1993,1.5M
Pulp Fiction,1994,2.3M
The Lord of the Rings: The Fellowship of the Ring,2001,2.1M
"The Good, the Bad and the Ugly",1966,831K
Forrest Gump,1994,2.3M
The Lord of the Rings: The Two Towers,2002,1.8M
Fight Club,1999,2.4M
Inception,2010,2.6M
Star Wars: Episode V - The Empire Strikes Back,1980,1.4M
The Matrix,1999,2.1M
GoodFellas,1990,1.3M
One Flew Over the Cuckoo's Nest,1975,1.1M
Interstellar,2014,2.2M
Seven,1995,1.9M
It's a Wonderful Life,1946,510K
Seven Samurai,1954,376K
The Silence of the Lambs,1991,1.6M
Saving Private Ryan,1998,1.5M
City of God,2002,819K
The Green Mile,1999,1.4M
Life Is Beautiful,1997,760K
Terminator 2: Judgment Day,1991,1.2M
Star Wars: Episode IV - A New Hope,1977,1.5M
Back to the Future,1985,1.3M
Spirited Away,2001,880K
The Pianist,2002,940K
Parasite,2019,1M
Psycho,1960,737K
Gladiator,2000,1.7M
The Lion King,1994,1.2M
The Departed,2006,1.5M
Spider-Man: Across the Spider-Verse,2023,416K
Grave of the Fireflies,1988,329K
Whiplash,2014,1M
American History X,1998,1.2M
Leon,1994,1.3M
The Prestige,2006,1.5M
Harakiri,1962,74K
Casablanca,1942,619K
The Usual Suspects,1995,1.2M
Untouchable,2011,953K
Dune: Part Two,2024,545K
Cinema Paradiso,1988,291K
Modern Times,1936,266K
Alien,1979,991K
Rear Window,1954,535K
Once Upon a Time in the West,1968,357K
Django Unchained,2012,1.7M
City Lights,1931,201K
Apocalypse Now,1979,726K
Memento,2000,1.4M
WALL·E,2008,1.2M
Raiders of the Lost Ark,1981,1.1M
The Lives of Others,2006,419K
12th Fail,2023,135K
Sunset Blvd,1950,243K
Avengers: Infinity War,2018,1.2M
Paths of Glory,1957,220K
Spider-Man: Into the Spider-Verse,2018,701K
Witness for the Prosecution,1957,143K
The Shining,1980,1.1M
The Great Dictator,1940,243K
Aliens,1986,792K
Inglourious Basterds,2009,1.6M
The Dark Knight Rises,2012,1.9M
Coco,2017,622K
Amadeus,1984,439K
Toy Story,1995,1.1M
Dr,1964,529K
Oldboy,2003,657K
American Beauty,1999,1.2M
Avengers: Endgame,2019,1.3M
Das Boot,1981,270K
Good Will Hunting,1997,1.1M
Braveheart,1995,1.1M
Princess Mononoke,1997,447K
Your Name,2016,339K
Joker,2019,1.6M
High and Low,1963,56K
3 Idiots,2009,447K
Once Upon a Time in America,1984,386K
Singin' in the Rain,1952,267K
Capernaum,2018,111K
Come and See,1985,104K
Requiem for a Dream,2000,920K
Toy Story 3,2010,912K
Star Wars: Episode VI - Return of the Jedi,1983,1.1M
The Hunt,2012,376K
Eternal Sunshine of the Spotless Mind,2004,1.1M
Ikiru,1952,91K
2001: A Space Odyssey,1968,736K
Reservoir Dogs,1992,1.1M
Lawrence of Arabia,1962,322K
The Apartment,1960,202K
Incendies,2010,214K
Scarface,1983,941K
North by Northwest,1959,353K
Double Indemnity,1944,171K
Citizen Kane,1941,474K
M,1931,173K
Vertigo,1958,437K
Heat,1995,737K
Full Metal Jacket,1987,807K
Oppenheimer,2023,816K
Up,2009,1.2M
Amélie,2001,807K
A Clockwork Orange,1971,897K
To Kill a Mockingbird,1962,338K
A Separation,2011,264K
The Sting,1973,285K
Die Hard,1988,964K
Like Stars on Earth,2007,212K
Indiana Jones and the Last Crusade,1989,825K
Metropolis,1927,190K
Snatch,2000,928K
1917,2019,703K
L,1997,631K
Bicycle Thieves,1948,180K
Downfall,2004,382K
Hamilton,2020,120K
Taxi Driver,1976,951K
Dangal,2016,218K
The Wolf of Wall Street,2013,1.6M
Batman Begins,2005,1.6M
For a Few Dollars More,1965,281K
Green Book,2018,604K
Some Like It Hot,1959,289K
The Truman Show,1998,1.2M
Judgment at Nuremberg,1961,88K
The Kid,1921,138K
The Father,2020,203K
Shutter Island,2010,1.5M
All About Eve,1950,141K
There Will Be Blood,2007,655K
Jurassic Park,1993,1.1M
Casino,1995,578K
Top Gun: Maverick,2022,740K
The Sixth Sense,1999,1.1M
Ran,1985,140K
Pan's Labyrinth,2006,714K
No Country for Old Men,2007,1.1M
Unforgiven,1992,444K
The Thing,1982,484K
A Beautiful Mind,2001,1M
Kill Bill: Vol,2003,1.2M
The Wild Robot,2024,78K
The Treasure of the Sierra Madre,1948,135K
Yojimbo,1961,134K
Prisoners,2013,840K
The Great Escape,1963,263K
Finding Nemo,2003,1.1M
Monty Python and the Holy Grail,1975,579K
Howl's Moving Castle,2004,467K
The Elephant Man,1980,264K
Rashomon,1950,185K
Dial M for Murder,1954,193K
Gone with the Wind,1939,340K
Chinatown,1974,358K
The Secret in Their Eyes,2009,227K
"Lock, Stock and Two Smoking Barrels",1998,626K
Inside Out,2015,840K
V for Vendetta,2005,1.2M
"Three Billboards Outside Ebbing, Missouri",2017,568K
Raging Bull,1980,388K
Klaus,2019,197K
Trainspotting,1996,738K
The Bridge on the River Kwai,1957,237K
Catch Me If You Can,2002,1.1M
Fargo,1996,740K
Warrior,2011,506K
Spider-Man: No Way Home,2021,916K
Gran Torino,2008,827K
Harry Potter and the Deathly Hallows: Part 2,2011,972K
Million Dollar Baby,2004,733K
My Neighbour Totoro,1988,394K
Mad Max: Fury Road,2015,1.1M
Ben-Hur,1959,258K
Children of Heaven,1997,83K
Barry Lyndon,1975,188K
12 Years a Slave,2013,753K
Blade Runner,1982,839K
Before Sunrise,1995,349K
The Grand Budapest Hotel,2014,906K
Hacksaw Ridge,2016,616K
Dead Poets Society,1989,569K
Gone Girl,2014,1.1M
Memories of Murder,2003,228K
In the Name of the Father,1993,192K
The Gold Rush,1925,121K
Maharaja,2024,53K
"Monsters, Inc",2001,1M
Wild Tales,2014,222K
Ratatouille,2007,856K
The Deer Hunter,1978,369K
How to Train Your Dragon,2010,821K
Jaws,1975,679K
Sherlock Jr,1924,59K
The General,1926,100K
Mary and Max,2009,191K
On the Waterfront,1954,168K
The Wages of Fear,1953,68K
Le Mans '66,2019,501K
Wild Strawberries,1957,117K
Mr,1939,123K
The Third Man,1949,186K
Logan,2017,868K
Rocky,1976,645K
Tokyo Story,1953,71K
The Big Lebowski,1998,876K
The Seventh Seal,1957,203K
Room,2015,460K
Spotlight,2015,510K
The Terminator,1984,946K
Hotel Rwanda,2004,378K
Platoon,1986,447K
Pirates of the Caribbean: The Curse of the Black Pearl,2003,1.2M
La haine,1995,204K
Jai Bhim,2021,222K
The Passion of Joan of Arc,1928,63K
Before Sunset,2004,295K
The Best Years of Our Lives,1946,72K
The Exorcist,1973,468K
A Man Escaped,1956,26K
Rush,2013,524K
The Incredibles,2004,833K
The Wizard of Oz,1939,437K
Network,1976,174K
Stand by Me,1986,453K
Hachi: A Dog's Tale,2009,320K
The Sound of Music,1965,268K
My Father and My Son,2005,95K
The Handmaiden,2016,180K
