artist,song,rank,date
Mac Miller,Complicated,63,2020-02-01
Niko Moon,Good Time,82,2021-01-02
Chris Stapleton,Starting Over,69,2020-11-14
Jordan Davis,Slow Dance In A Parking Lot,99,2020-01-11
Shawn Mendes & Camila Cabello,Senorita,30,2020-02-01
Megan Thee Stallion Featuring DaBaby,Cry Baby,67,2021-01-02
BENEE Featuring Gus Dapperton,Supalonely,48,2020-05-09
Lee Brice,One Of Them Girls,22,2020-10-03
Khalid,Talk,48,2020-01-25
Wale Featuring Jeremih,On Chill,46,2020-01-25
Regard,Ride It.,95,2020-05-02
Dua Lipa,Don't Start Now,6,2020-05-16
Lil Baby,Sum 2 Prove,51,2020-03-28
Lil Uzi Vert,POP,28,2020-03-21
Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),1,2020-10-17
Lil Baby & 42 Dugg,We Paid,18,2020-07-04
Pop Smoke,Dior,46,2020-07-04
Drake,Toosie Slide,75,2020-08-08
BRS Kash,Throat Baby (Go Baby),97,2020-12-26
Dan + Shay,I Should Probably Go To Bed,43,2020-08-15
Jon Pardi,Heartache Medication,58,2020-01-11
Sam Smith,Diamonds,80,2020-10-17
Gunna Featuring Young Thug,Dollaz On My Head,73,2020-06-13
Dua Lipa,Don't Start Now,33,2020-10-10
Tory Lanez & T-Pain,Jerry Sprunger,93,2020-01-11
Marshmello & Halsey,Be Kind,100,2020-08-22
Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),6,2020-11-14
H.E.R. Featuring YG,Slide,57,2020-02-08
Halsey,You Should Be Sad,29,2020-01-25
Chris Brown Featuring Drake,No Guidance,40,2020-04-25
Bobby Helms,Jingle Bell Rock,31,2020-12-05
Doja Cat Featuring Nicki Minaj,Say So,95,2020-01-18
Billie Eilish,Everything I Wanted,11,2020-05-02
Keith Urban,God Whispered Your Name,81,2020-05-09
DaBaby Featuring Young Thug,Blind,74,2020-11-28
Pop Smoke Featuring Lil Tjay,Mood Swings,27,2020-10-10
Luke Combs,Even Though I'm Leaving,59,2020-01-04
Moneybagg Yo,Said Sum,63,2020-07-18
Lil Wayne,Mahogany,61,2020-02-15
Miley Cyrus,Midnight Sky,65,2020-11-28
Gabby Barrett Featuring Charlie Puth,I Hope,16,2020-08-01
21 Savage & Metro Boomin,No Opp Left Behind,71,2020-10-17
The Weeknd,Faith,45,2020-04-04
Florida Georgia Line,I Love My Country,54,2020-08-15
DaBaby Featuring Quavo,PICK UP,44,2020-05-02
"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,48,2020-03-28
BRS Kash,Throat Baby (Go Baby),93,2020-10-31
Halsey,Graveyard,61,2020-01-04
Michael Buble,It's Beginning To Look A Lot Like Christmas,42,2020-12-26
Mariah Carey,All I Want For Christmas Is You,2,2020-12-26
Drake,Toosie Slide,6,2020-06-13
Kenny Chesney,Here And Now,77,2020-05-30
Jameson Rodgers,Some Girls,57,2020-11-14
Keith Urban,God Whispered Your Name,67,2020-08-01
Polo G,Martin & Gina,86,2020-10-17
Juice WRLD X Halsey,Life's A Mess,82,2020-08-08
Arizona Zervas,Roxanne,10,2020-04-04
Russ & BIA,BEST ON EARTH,52,2020-04-25
Bad Bunny,Booker T,78,2020-12-12
Noah Cyrus & Leon Bridges,July,100,2020-05-23
BENEE Featuring Gus Dapperton,Supalonely,41,2020-07-11
Dua Lipa,Don't Start Now,4,2020-04-25
The Weeknd,In Your Eyes,80,2020-07-04
Jonas Brothers Featuring Karol G,X,33,2020-05-30
Juice WRLD x Marshmello,Come & Go,17,2020-08-15
"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,77,2020-03-07
Billie Eilish,Everything I Wanted,38,2020-06-13
Rod Wave,Girl Of My Dreams,100,2020-09-12
Wale Featuring Jeremih,On Chill,37,2020-01-18
Lil Baby & 42 Dugg,We Paid,50,2020-09-12
Surf Mesa Featuring Emilee,ily,43,2020-12-12
Polo G,Epidemic,93,2020-10-17
Taylor Swift,Cardigan,24,2020-08-22
Luke Bryan,What She Wants Tonight,77,2020-04-25
Maroon 5,Memories,15,2020-04-18
Lil Baby,Woah,24,2020-03-07
Jonas Brothers,Sucker,42,2020-01-25
DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,75,2020-02-29
Noah Cyrus & Leon Bridges,July,85,2020-04-25
Polo G,Martin & Gina,72,2020-11-21
Lil Baby,Emotionally Scarred,47,2020-06-20
Travis Denning,After A Few,56,2020-05-02
Juice WRLD x Marshmello,Come & Go,60,2020-12-05
"NAV, Gunna & Travis Scott",Turks,86,2020-06-20
Megan Thee Stallion,Girls In The Hood,57,2020-07-25
Ariana Grande & Justin Bieber,Stuck With U,100,2020-09-19
Old Dominion,One Man Band,46,2020-02-01
Ava Max,Kings & Queens,30,2020-12-26
YoungBoy Never Broke Again,Ain't Easy,83,2020-05-09
Miley Cyrus,Midnight Sky,44,2020-11-21
Kehlani,Toxic,68,2020-05-23
JP Saxe Featuring Julia Michaels,If The World Was Ending,77,2020-05-02
SZA Featuring Ty Dolla $ign,Hit Different,87,2020-10-17
Doja Cat,Candy,96,2020-01-11
Maroon 5,Memories,39,2020-06-27
Maroon 5,Memories,2,2020-01-11
Jordan Davis,Slow Dance In A Parking Lot,73,2020-05-02
YoungBoy Never Broke Again,Make No Sense,83,2020-04-11
Roddy Ricch Featuring Mustard,High Fashion,36,2020-07-11
Lil Baby & 42 Dugg,Grace,91,2020-04-25
