artist,song,rank_last_week,peak_rank
Mac Miller,Complicated,0,63
Niko Moon,Good Time,96,71
Chris Stapleton,Starting Over,63,57
Jordan Davis,Slow Dance In A Parking Lot,0,99
Shawn Mendes & Camila Cabello,Senorita,24,1
Megan Thee Stallion Featuring DaBaby,Cry Baby,95,67
BENEE Featuring Gus Dapperton,Supalonely,59,48
Lee Brice,One Of Them Girls,19,19
Khalid,Talk,42,3
Wale Featuring Jeremih,On Chill,37,22
Regard,Ride It.,96,95
Dua Lipa,Don't Start Now,7,2
Lil Baby,Sum 2 Prove,52,16
Lil Uzi Vert,POP,0,28
Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),8,1
Lil Baby & 42 Dugg,We Paid,27,18
Pop Smoke,Dior,49,30
Drake,Toosie Slide,45,1
BRS Kash,Throat Baby (Go Baby),81,69
Dan + Shay,I Should Probably Go To Bed,0,43
Jon Pardi,Heartache Medication,75,58
Sam Smith,Diamonds,70,51
Gunna Featuring Young Thug,Dollaz On My Head,38,38
Dua Lipa,Don't Start Now,32,2
Tory Lanez & T-Pain,Jerry Sprunger,0,44
Marshmello & Halsey,Be Kind,88,29
Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),8,1
H.E.R. Featuring YG,Slide,70,57
Halsey,You Should Be Sad,0,29
Chris Brown Featuring Drake,No Guidance,38,5
Bobby Helms,Jingle Bell Rock,0,3
Doja Cat Featuring Nicki Minaj,Say So,0,95
Billie Eilish,Everything I Wanted,10,8
Keith Urban,God Whispered Your Name,97,81
DaBaby Featuring Young Thug,Blind,89,74
Pop Smoke Featuring Lil Tjay,Mood Swings,20,17
Luke Combs,Even Though I'm Leaving,49,11
Moneybagg Yo,Said Sum,0,63
Lil Wayne,Mahogany,0,61
Miley Cyrus,Midnight Sky,44,14
Gabby Barrett Featuring Charlie Puth,I Hope,23,16
21 Savage & Metro Boomin,No Opp Left Behind,0,71
The Weeknd,Faith,0,45
Florida Georgia Line,I Love My Country,69,48
DaBaby Featuring Quavo,PICK UP,0,44
"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,73,48
BRS Kash,Throat Baby (Go Baby),0,93
Halsey,Graveyard,52,34
Michael Buble,It's Beginning To Look A Lot Like Christmas,33,33
Mariah Carey,All I Want For Christmas Is You,1,1
Drake,Toosie Slide,6,1
Kenny Chesney,Here And Now,59,59
Jameson Rodgers,Some Girls,45,29
Keith Urban,God Whispered Your Name,74,60
Polo G,Martin & Gina,71,61
Juice WRLD X Halsey,Life's A Mess,42,9
Arizona Zervas,Roxanne,6,4
Russ & BIA,BEST ON EARTH,49,46
Bad Bunny,Booker T,0,78
Noah Cyrus & Leon Bridges,July,0,85
BENEE Featuring Gus Dapperton,Supalonely,42,39
Dua Lipa,Don't Start Now,4,2
The Weeknd,In Your Eyes,67,16
Jonas Brothers Featuring Karol G,X,0,33
Juice WRLD x Marshmello,Come & Go,17,2
"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,84,77
Billie Eilish,Everything I Wanted,35,8
Rod Wave,Girl Of My Dreams,87,65
Wale Featuring Jeremih,On Chill,39,22
Lil Baby & 42 Dugg,We Paid,44,10
Surf Mesa Featuring Emilee,ily,33,23
Polo G,Epidemic,47,47
Taylor Swift,Cardigan,8,1
Luke Bryan,What She Wants Tonight,62,46
Maroon 5,Memories,13,2
Lil Baby,Woah,28,16
Jonas Brothers,Sucker,34,1
DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,63,28
Noah Cyrus & Leon Bridges,July,97,85
Polo G,Martin & Gina,81,61
Lil Baby,Emotionally Scarred,52,31
Travis Denning,After A Few,55,55
Juice WRLD x Marshmello,Come & Go,47,2
"NAV, Gunna & Travis Scott",Turks,89,17
Megan Thee Stallion,Girls In The Hood,51,28
Ariana Grande & Justin Bieber,Stuck With U,91,1
Old Dominion,One Man Band,36,20
Ava Max,Kings & Queens,22,13
YoungBoy Never Broke Again,Ain't Easy,0,83
Miley Cyrus,Midnight Sky,82,14
Kehlani,Toxic,0,68
JP Saxe Featuring Julia Michaels,If The World Was Ending,73,73
SZA Featuring Ty Dolla $ign,Hit Different,75,29
Doja Cat,Candy,96,86
Maroon 5,Memories,32,2
Maroon 5,Memories,9,2
Jordan Davis,Slow Dance In A Parking Lot,50,37
YoungBoy Never Broke Again,Make No Sense,96,57
Roddy Ricch Featuring Mustard,High Fashion,31,20
Lil Baby & 42 Dugg,Grace,100,48
