song,performer,weekid
JINGLE BELL ROCK,Bobby Helms,12/23/1961
IT'S THE MOST WONDERFUL TIME OF THE YEAR,Andy Williams,1/7/2017
WHAT CAN YOU GET A WOOKIEE FOR CHRISTMAS (WHEN HE ALREADY OWNS A COMB?),The Star Wars Intergalactic Droid Choir & Chorale,12/13/1980
ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,12/10/1960
PRETTY PAPER,Roy Orbison,1/25/1964
MISTLETOE,Justin Bieber,12/31/2011
ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,12/16/1961
ALL I WANT FOR CHRISTMAS IS YOU,Mariah Carey,1/3/2015
JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,12/16/1961
THE MARVELOUS TOY,The Chad Mitchell Trio,12/7/1963
THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,12/23/1961
ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,1/2/2016
WINTER WORLD OF LOVE,Engelbert Humperdinck,12/27/1969
THE MARVELOUS TOY,The Chad Mitchell Trio,11/30/1963
ALL I WANT FOR CHRISTMAS IS YOU,Mariah Carey,12/28/2013
PLEASE COME HOME FOR CHRISTMAS,Eagles,12/9/1978
LET IT SNOW,Boyz II Men,12/25/1993
PLEASE COME HOME FOR CHRISTMAS,Charles Brown,12/23/1961
BELIEVE,Brooks & Dunn,1/21/2006
CHRISTMAS LIGHTS,Coldplay,1/1/2011
THE MARVELOUS TOY,The Chad Mitchell Trio,1/11/1964
CHRISTMAS LIGHTS,Coldplay,12/25/2010
WHAT CAN YOU GET A WOOKIEE FOR CHRISTMAS (WHEN HE ALREADY OWNS A COMB?),The Star Wars Intergalactic Droid Choir & Chorale,12/20/1980
WHEN A CHILD IS BORN,Michael Holm,1/18/1975
DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,1/5/1985
WHITE CHRISTMAS,Bing Crosby,12/17/1960
OH SANTA!,Mariah Carey,1/1/2011
THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,12/24/1960
PLEASE COME HOME FOR CHRISTMAS,Eagles,1/13/1979
GRANDMA GOT RUN OVER BY A REINDEER,Elmo & Patsy,1/10/1998
AMEN,The Impressions,11/21/1964
SANTA TELL ME,Ariana Grande,12/27/2014
CHRISTMAS DREAM,Perry Como,12/28/1974
DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,1/12/1985
LET IT SNOW,Boyz II Men,12/18/1993
WINTER WORLD OF LOVE,Engelbert Humperdinck,1/17/1970
BELIEVE,Brooks & Dunn,1/28/2006
JINGLE BELL ROCK,Bobby Helms,12/20/1958
A HOLLY JOLLY CHRISTMAS,Burl Ives,1/7/2017
DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,1/19/1985
SHAKE UP CHRISTMAS,Train,1/8/2011
ALL I WANT FOR CHRISTMAS IS YOU,Mariah Carey,12/22/2012
IT DOESN'T HAVE TO BE THAT WAY,Jim Croce,1/26/1974
JINGLE BELL ROCK,Bobby Helms,12/10/1960
ALL I WANT FOR CHRISTMAS IS YOU,Mariah Carey,1/8/2000
PLEASE COME HOME FOR CHRISTMAS,Eagles,12/23/1978
THE CHRISTMAS SONG (MERRY CHRISTMAS TO YOU),Nat King Cole,12/22/1962
WHAT CAN YOU GET A WOOKIEE FOR CHRISTMAS (WHEN HE ALREADY OWNS A COMB?),The Star Wars Intergalactic Droid Choir & Chorale,1/10/1981
SANTA CLAUS IS WATCHING YOU,Ray Stevens,12/22/1962
LET IT SNOW,Boyz II Men,1/15/1994
ALL I WANT FOR CHRISTMAS IS YOU,Mariah Carey,1/9/2016
WINTER WORLD OF LOVE,Engelbert Humperdinck,1/3/1970
AMEN,The Impressions,12/12/1964
IF WE MAKE IT THROUGH DECEMBER,Merle Haggard,12/8/1973
THE CHRISTMAS SHOES,NewSong,1/6/2001
THE CHRISTMAS SONG (MERRY CHRISTMAS TO YOU),Nat King Cole,1/9/2016
JINGLE BELL ROCK,Bobby Helms,12/16/1961
BETTER DAYS,Goo Goo Dolls,12/24/2005
LET IT SNOW,Boyz II Men,12/11/1993
IT DOESN'T HAVE TO BE THAT WAY,Jim Croce,12/29/1973
THIS TIME OF THE YEAR,Brook Benton,1/9/1960
THIS TIME OF THE YEAR,Brook Benton,1/2/1960
CHRISTMAS AULD LANG SYNE,Bobby Darin,12/24/1960
"BABY, IT'S COLD OUTSIDE",Glee Cast,12/25/2010
DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,1/26/1985
JINGLE BELL ROCK,Bobby Helms,1/3/1959
THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,12/16/1961
ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,12/30/1961
SAME OLD LANG SYNE,Dan Fogelberg,1/31/1981
THE GREATEST GIFT OF ALL,Kenny Rogers,1/12/1985
RUN RUDOLPH RUN,Chuck Berry,12/13/1958
MISTLETOE,Justin Bieber,1/14/2012
WHITE CHRISTMAS,Bing Crosby,12/15/1962
LAST CHRISTMAS,Wham!,1/7/2017
I'LL BE HOME,The Platters,12/10/1966
THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,12/30/1961
THE MARVELOUS TOY,The Chad Mitchell Trio,1/25/1964
ALL I WANT FOR CHRISTMAS IS YOU,Mariah Carey,1/4/2014
IF WE MAKE IT THROUGH DECEMBER,Merle Haggard,1/26/1974
PRETTY PAPER,Roy Orbison,12/14/1963
WHITE CHRISTMAS,The Drifters Featuring Clyde McPhatter And Bill Pinkney,12/17/1960
WHEN A CHILD IS BORN,Michael Holm,1/4/1975
LITTLE ALTAR BOY,Vic Dana,12/30/1961
THE HAPPY REINDEER,"Dancer, Prancer And Nervous",1/9/1960
PLEASE COME HOME FOR CHRISTMAS,Eagles,12/16/1978
MY FAVORITE THINGS,Herb Alpert & The Tijuana Brass,12/21/1968
SANTA CLAUS IS WATCHING YOU,Ray Stevens,12/29/1962
THIS CHRISTMAS,Chris Brown,1/5/2008
JINGLE BELL ROCK,Bobby Helms,12/24/1960
SILENT NIGHT,Bing Crosby,12/24/1960
LAST CHRISTMAS,Glee Cast,12/19/2009
JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,12/22/1962
THIS ONE'S FOR THE CHILDREN,New Kids On The Block,1/6/1990
THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,12/17/1960
THIS CHRISTMAS,Chris Brown,12/29/2007
WHITE CHRISTMAS,The Drifters Featuring Clyde McPhatter And Bill Pinkney,12/22/1962
SANTA'S A FAT BITCH,Insane Clown Posse,1/24/1998
DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,12/22/1984
GREEN CHRI$TMA$,Stan Freberg,12/27/1958
BELIEVE,Brooks & Dunn,12/24/2005
