song,performer,peak_position,weeks_on_chart
JINGLE BELL ROCK,Bobby Helms,29,19
IT'S THE MOST WONDERFUL TIME OF THE YEAR,Andy Williams,48,1
WHAT CAN YOU GET A WOOKIEE FOR CHRISTMAS (WHEN HE ALREADY OWNS A COMB?),The Star Wars Intergalactic Droid Choir & Chorale,69,6
ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,14,18
PRETTY PAPER,Roy Orbison,15,7
MISTLETOE,Justin Bieber,11,10
ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,14,18
ALL I WANT FOR CHRISTMAS IS YOU,Mariah Carey,11,19
JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,21,7
THE MARVELOUS TOY,The Chad Mitchell Trio,43,9
THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,39,15
ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,14,18
WINTER WORLD OF LOVE,Engelbert Humperdinck,16,12
THE MARVELOUS TOY,The Chad Mitchell Trio,43,9
ALL I WANT FOR CHRISTMAS IS YOU,Mariah Carey,11,19
PLEASE COME HOME FOR CHRISTMAS,Eagles,18,8
LET IT SNOW,Boyz II Men,32,7
PLEASE COME HOME FOR CHRISTMAS,Charles Brown,76,2
BELIEVE,Brooks & Dunn,60,20
CHRISTMAS LIGHTS,Coldplay,25,3
THE MARVELOUS TOY,The Chad Mitchell Trio,43,9
CHRISTMAS LIGHTS,Coldplay,25,3
WHAT CAN YOU GET A WOOKIEE FOR CHRISTMAS (WHEN HE ALREADY OWNS A COMB?),The Star Wars Intergalactic Droid Choir & Chorale,69,6
WHEN A CHILD IS BORN,Michael Holm,53,7
DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,13,9
WHITE CHRISTMAS,Bing Crosby,12,13
OH SANTA!,Mariah Carey,100,1
THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,39,15
PLEASE COME HOME FOR CHRISTMAS,Eagles,18,8
GRANDMA GOT RUN OVER BY A REINDEER,Elmo & Patsy,87,1
AMEN,The Impressions,7,11
SANTA TELL ME,Ariana Grande,42,5
CHRISTMAS DREAM,Perry Como,92,2
DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,13,9
LET IT SNOW,Boyz II Men,32,7
WINTER WORLD OF LOVE,Engelbert Humperdinck,16,12
BELIEVE,Brooks & Dunn,60,20
JINGLE BELL ROCK,Bobby Helms,29,19
A HOLLY JOLLY CHRISTMAS,Burl Ives,46,1
DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,13,9
SHAKE UP CHRISTMAS,Train,99,1
ALL I WANT FOR CHRISTMAS IS YOU,Mariah Carey,11,19
IT DOESN'T HAVE TO BE THAT WAY,Jim Croce,64,5
JINGLE BELL ROCK,Bobby Helms,29,19
ALL I WANT FOR CHRISTMAS IS YOU,Mariah Carey,11,19
PLEASE COME HOME FOR CHRISTMAS,Eagles,18,8
THE CHRISTMAS SONG (MERRY CHRISTMAS TO YOU),Nat King Cole,38,8
WHAT CAN YOU GET A WOOKIEE FOR CHRISTMAS (WHEN HE ALREADY OWNS A COMB?),The Star Wars Intergalactic Droid Choir & Chorale,69,6
SANTA CLAUS IS WATCHING YOU,Ray Stevens,45,3
LET IT SNOW,Boyz II Men,32,7
ALL I WANT FOR CHRISTMAS IS YOU,Mariah Carey,11,19
WINTER WORLD OF LOVE,Engelbert Humperdinck,16,12
AMEN,The Impressions,7,11
IF WE MAKE IT THROUGH DECEMBER,Merle Haggard,28,11
THE CHRISTMAS SHOES,NewSong,42,2
THE CHRISTMAS SONG (MERRY CHRISTMAS TO YOU),Nat King Cole,38,8
JINGLE BELL ROCK,Bobby Helms,29,19
BETTER DAYS,Goo Goo Dolls,36,20
LET IT SNOW,Boyz II Men,32,7
IT DOESN'T HAVE TO BE THAT WAY,Jim Croce,64,5
THIS TIME OF THE YEAR,Brook Benton,66,5
THIS TIME OF THE YEAR,Brook Benton,66,5
CHRISTMAS AULD LANG SYNE,Bobby Darin,51,3
"BABY, IT'S COLD OUTSIDE",Glee Cast,57,2
DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,13,9
JINGLE BELL ROCK,Bobby Helms,29,19
THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,39,15
ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,14,18
SAME OLD LANG SYNE,Dan Fogelberg,9,18
THE GREATEST GIFT OF ALL,Kenny Rogers,81,4
RUN RUDOLPH RUN,Chuck Berry,69,3
MISTLETOE,Justin Bieber,11,10
WHITE CHRISTMAS,Bing Crosby,12,13
LAST CHRISTMAS,Wham!,41,2
I'LL BE HOME,The Platters,97,2
THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,39,15
THE MARVELOUS TOY,The Chad Mitchell Trio,43,9
ALL I WANT FOR CHRISTMAS IS YOU,Mariah Carey,11,19
IF WE MAKE IT THROUGH DECEMBER,Merle Haggard,28,11
PRETTY PAPER,Roy Orbison,15,7
