lyric,album_title,year,track_title,track_number
The ticktock of time allows me to see,Nightwish,1996,The Forever Moments,1
An authent to an echo,Nightwish,1996,The Forever Moments,1
New butterfly to a cocoon,Nightwish,1996,The Forever Moments,1
The swan to ugly duckling,Nightwish,1996,The Forever Moments,1
The lake to an ocean,Nightwish,1996,The Forever Moments,1
The deep times awake,Nightwish,1996,The Forever Moments,1
As I can calm myself to yesterday,Nightwish,1996,The Forever Moments,1
The flower has fallen its petals,Nightwish,1996,The Forever Moments,1
Out of the petals a cradle I will,Nightwish,1996,The Forever Moments,1
My cradle rocks with the waves of time,Nightwish,1996,The Forever Moments,1
The time of beauty will never be the same,Nightwish,1996,The Forever Moments,1
Falling again has no man's knowing,Nightwish,1996,The Forever Moments,1
"Please take me, take me with thee",Nightwish,1996,The Forever Moments,1
Now I hear my mother from the deep,Nightwish,1996,The Forever Moments,1
Sing me a lullaby of eternal sleep,Nightwish,1996,The Forever Moments,1
With thou replant the plaster call,Nightwish,1996,The Forever Moments,1
This and silence we seek to reborn,Nightwish,1996,The Forever Moments,1
"Oh, setting Sun,",Nightwish,1996,Nightwish,2
Thy red rays maketh me cry.,Nightwish,1996,Nightwish,2
They remind me of the one,Nightwish,1996,Nightwish,2
Whose slumber wakes me in the sky.,Nightwish,1996,Nightwish,2
The bridal bed awaits us both,Nightwish,1996,Nightwish,2
After the landscape of death I have crossed.,Nightwish,1996,Nightwish,2
"Before my sorrows I must die,",Nightwish,1996,Nightwish,2
Nightwish I send through the starlit sky.,Nightwish,1996,Nightwish,2
"The voice of nightly winds has awakened me,",Nightwish,1996,Nightwish,2
Amidst all the grief they embrace me with relief.,Nightwish,1996,Nightwish,2
Beneath my dreams and wishes,Nightwish,1996,Nightwish,2
I long for thy caresses.,Nightwish,1996,Nightwish,2
"The bridal bed awaits us both,",Nightwish,1996,Nightwish,2
After the landscape of death I have crossed.,Nightwish,1996,Nightwish,2
"Before my sorrows I must die,",Nightwish,1996,Nightwish,2
Nightwish I send through the starlit sky.,Nightwish,1996,Nightwish,2
"""Passed away in silence",Nightwish,1996,Nightwish,2
The flute from the realm unseen,Nightwish,1996,Nightwish,2
Empties its heart,Nightwish,1996,Nightwish,2
Making love to me,Nightwish,1996,Nightwish,2
With its enchanting melody.,Nightwish,1996,Nightwish,2
"Light of Orion,",Nightwish,1996,Nightwish,2
"Shadow of Andromeda,",Nightwish,1996,Nightwish,2
Call of the dancing Universe.,Nightwish,1996,Nightwish,2
The labyrinth I must enter,Nightwish,1996,Nightwish,2
Before thou can blame my soul,Nightwish,1996,Nightwish,2
"With an age of peace""",Nightwish,1996,Nightwish,2
[Instrumental],Nightwish,1996,Etiäinen,3
The sheltering shade of the forest,Angels Fall First,1997,Elvenpath,1
Calling come in silence,Angels Fall First,1997,Elvenpath,1
Accompanied only by the full moon,Angels Fall First,1997,Elvenpath,1
Howling of a night wolf,Angels Fall First,1997,Elvenpath,1
And the path under my bare feet,Angels Fall First,1997,Elvenpath,1
The elvenpath,Angels Fall First,1997,Elvenpath,1
Hearing music from the deepest forest,Angels Fall First,1997,Elvenpath,1
Songs as a seduction of sirens,Angels Fall First,1997,Elvenpath,1
The elf-folk is calling me,Angels Fall First,1997,Elvenpath,1
"Tapio, Bearking, Ruler of the forest",Angels Fall First,1997,Elvenpath,1
"Mielikki, Bluecloak, Healer of the ill and sad",Angels Fall First,1997,Elvenpath,1
Open the gate and let me follow the uncarven path,Angels Fall First,1997,Elvenpath,1
[Chorus:],Angels Fall First,1997,Elvenpath,1
The way to the lands,Angels Fall First,1997,Elvenpath,1
Where as a hero I stand,Angels Fall First,1997,Elvenpath,1
The path where Beauty met the Beast,Angels Fall First,1997,Elvenpath,1
Elvenpath,Angels Fall First,1997,Elvenpath,1
It's the honesty of these worlds,Angels Fall First,1997,Elvenpath,1
Ruled by magic and mighty swords,Angels Fall First,1997,Elvenpath,1
That makes my soul long for the past,Angels Fall First,1997,Elvenpath,1
Elvenpath,Angels Fall First,1997,Elvenpath,1
The moon witch took me to a ride on a broomstick,Angels Fall First,1997,Elvenpath,1
Introduced me to her old friend Home Gnome,Angels Fall First,1997,Elvenpath,1
Told me to keep the sauna warm for him,Angels Fall First,1997,Elvenpath,1
At the grove I met the rest—the folk of my fantasies,Angels Fall First,1997,Elvenpath,1
"Bilbo, Sparhawk, goblins and pixies,",Angels Fall First,1997,Elvenpath,1
"Snowman, Willow, trolls and the seven dwarfs",Angels Fall First,1997,Elvenpath,1
The path goes forever on,Angels Fall First,1997,Elvenpath,1
[Repeat chorus],Angels Fall First,1997,Elvenpath,1
"Long ago,",Angels Fall First,1997,Elvenpath,1
"In the early years of the second age,",Angels Fall First,1997,Elvenpath,1
The great elven-smiths forged the Rings of Power.,Angels Fall First,1997,Elvenpath,1
As I return to my room,Angels Fall First,1997,Elvenpath,1
And as sleep takes me by my hand,Angels Fall First,1997,Elvenpath,1
Madrigals from the woods,Angels Fall First,1997,Elvenpath,1
Carry me to neverland,Angels Fall First,1997,Elvenpath,1
In this spellbound night,Angels Fall First,1997,Elvenpath,1
The world's an elvish sight,Angels Fall First,1997,Elvenpath,1
In this spellbound night,Angels Fall First,1997,Elvenpath,1
The world's an elvish sight,Angels Fall First,1997,Elvenpath,1
"But then the dark lord learned the craft of ring-making,",Angels Fall First,1997,Elvenpath,1
And made the Master Ring.,Angels Fall First,1997,Elvenpath,1
Ah ah ah,Angels Fall First,1997,Elvenpath,1
Remember the first dance we shared?,Angels Fall First,1997,Beauty And The Beast,2
Recall the night you melted my uglyness away?,Angels Fall First,1997,Beauty And The Beast,2
The night you left with a kiss so kind,Angels Fall First,1997,Beauty And The Beast,2
Only a scent of beauty left behind,Angels Fall First,1997,Beauty And The Beast,2
"Ah, dear friend I remember the night",Angels Fall First,1997,Beauty And The Beast,2
The moon and the dreams we shared,Angels Fall First,1997,Beauty And The Beast,2
Your trembling paw in my hand,Angels Fall First,1997,Beauty And The Beast,2
Dreaming of that northern land,Angels Fall First,1997,Beauty And The Beast,2
Touching me with a kiss of a beast,Angels Fall First,1997,Beauty And The Beast,2
I know my dreams are made of you,Angels Fall First,1997,Beauty And The Beast,2
Of you and only for you,Angels Fall First,1997,Beauty And The Beast,2
Your ocean pulls me under,Angels Fall First,1997,Beauty And The Beast,2
Your voice tears me asunder,Angels Fall First,1997,Beauty And The Beast,2
Love me before the last petal falls,Angels Fall First,1997,Beauty And The Beast,2
As a world without a glance,Angels Fall First,1997,Beauty And The Beast,2
Of the ocean's fair expanse,Angels Fall First,1997,Beauty And The Beast,2
Such the world would be,Angels Fall First,1997,Beauty And The Beast,2
If no love did flow in thee,Angels Fall First,1997,Beauty And The Beast,2
But as my heart is occupied,Angels Fall First,1997,Beauty And The Beast,2
Your love to me now has to die,Angels Fall First,1997,Beauty And The Beast,2
"Forgive me, I need more than you can offer me",Angels Fall First,1997,Beauty And The Beast,2
Didn't you read the tale,Angels Fall First,1997,Beauty And The Beast,2
Where happily ever after was to kiss a frog?,Angels Fall First,1997,Beauty And The Beast,2
Don't you know this tale,Angels Fall First,1997,Beauty And The Beast,2
In which all I ever wanted,Angels Fall First,1997,Beauty And The Beast,2
I'll never have,Angels Fall First,1997,Beauty And The Beast,2
For who could ever learn to love a beast?,Angels Fall First,1997,Beauty And The Beast,2
However cold the wind and rain,Angels Fall First,1997,Beauty And The Beast,2
I'll be there to ease up your pain,Angels Fall First,1997,Beauty And The Beast,2
However cruel the mirrors of sin,Angels Fall First,1997,Beauty And The Beast,2
"Remember, beauty is found within",Angels Fall First,1997,Beauty And The Beast,2
...Forever shall the wolf in me desire the sheep in you...,Angels Fall First,1997,Beauty And The Beast,2
Who are you?,Angels Fall First,1997,The Carpenter,3
Man condemned to shine a salvation,Angels Fall First,1997,The Carpenter,3
throughout the centuries,Angels Fall First,1997,The Carpenter,3
Why ?,Angels Fall First,1997,The Carpenter,3
Was the wine of the grail,Angels Fall First,1997,The Carpenter,3
too sour for man to drink,Angels Fall First,1997,The Carpenter,3
The carpenter,Angels Fall First,1997,The Carpenter,3
carved his anchor,Angels Fall First,1997,The Carpenter,3
on the dying souls of mankind,Angels Fall First,1997,The Carpenter,3
On the tomb of this unknown soldier,Angels Fall First,1997,The Carpenter,3
lay the tools of the one,Angels Fall First,1997,The Carpenter,3
who for us had died,Angels Fall First,1997,The Carpenter,3
Tools of the carpenter,Angels Fall First,1997,The Carpenter,3
The one they lick,Angels Fall First,1997,The Carpenter,3
The same old sick,Angels Fall First,1997,The Carpenter,3
dream of their precious saviour,Angels Fall First,1997,The Carpenter,3
Kiss them deep and,Angels Fall First,1997,The Carpenter,3
make them weep,Angels Fall First,1997,The Carpenter,3
over promises of eternal peace,Angels Fall First,1997,The Carpenter,3
The carpenter,Angels Fall First,1997,The Carpenter,3
carved his anchor,Angels Fall First,1997,The Carpenter,3
on the dying souls of mankind,Angels Fall First,1997,The Carpenter,3
On the tomb of this unknown soldier,Angels Fall First,1997,The Carpenter,3
lay the tools of the one,Angels Fall First,1997,The Carpenter,3
who for us has died,Angels Fall First,1997,The Carpenter,3
Tools of the carpenter,Angels Fall First,1997,The Carpenter,3
I hear you,Angels Fall First,1997,The Carpenter,3
through the symphonic voices of nature,Angels Fall First,1997,The Carpenter,3
- the purity I could never doubt,Angels Fall First,1997,The Carpenter,3
They tell me to lie on the grass,Angels Fall First,1997,The Carpenter,3
and observe my saviour,Angels Fall First,1997,The Carpenter,3
The one crucified to the chirping of birds,Angels Fall First,1997,The Carpenter,3
The carpenter,Angels Fall First,1997,The Carpenter,3
carved his anchor,Angels Fall First,1997,The Carpenter,3
on the dying souls of mankind,Angels Fall First,1997,The Carpenter,3
On the tomb of this unknown soldier,Angels Fall First,1997,The Carpenter,3
lay the tools of the one,Angels Fall First,1997,The Carpenter,3
who for us has died,Angels Fall First,1997,The Carpenter,3
Tools of the carpenter,Angels Fall First,1997,The Carpenter,3
A nocturnal concerto,Angels Fall First,1997,Astral Romance,4
candlelight whispers me where to go,Angels Fall First,1997,Astral Romance,4
Hymn of gathering stars as my guide,Angels Fall First,1997,Astral Romance,4
whilst I wander on this path of the night,Angels Fall First,1997,Astral Romance,4
Embroidery of the stars,Angels Fall First,1997,Astral Romance,4
undress my feelings for this earth,Angels Fall First,1997,Astral Romance,4
Send me your salva to heal my scars,Angels Fall First,1997,Astral Romance,4
and let this nakedness be my birth,Angels Fall First,1997,Astral Romance,4
Macrocosm poured its powers on me,Angels Fall First,1997,Astral Romance,4
And the hopes of this world I now must leave,Angels Fall First,1997,Astral Romance,4
The nightwish I sent you centuries ago,Angels Fall First,1997,Astral Romance,4
has been heard by those who dwelled in a woe,Angels Fall First,1997,Astral Romance,4
The distance of our bridal bed,Angels Fall First,1997,Astral Romance,4
Await for me to be dead,Angels Fall First,1997,Astral Romance,4
Dust of the galaxies take my hand,Angels Fall First,1997,Astral Romance,4
Lead me to my beloved's land,Angels Fall First,1997,Astral Romance,4
Departed by the guillotine of death,Angels Fall First,1997,Astral Romance,4
I received a letter from the depth,Angels Fall First,1997,Astral Romance,4
The dream of my lover it carried inside,Angels Fall First,1997,Astral Romance,4
Caressed by the sharpest knife,Angels Fall First,1997,Astral Romance,4
I asked you to be my wife,Angels Fall First,1997,Astral Romance,4
Rays of the setting sun,Angels Fall First,1997,Astral Romance,4
were my tears wept upon promises undone,Angels Fall First,1997,Astral Romance,4
Come to me,Angels Fall First,1997,Astral Romance,4
Make me believe,Angels Fall First,1997,Astral Romance,4
to you and your love again,Angels Fall First,1997,Astral Romance,4
Above the universe,Angels Fall First,1997,Astral Romance,4
Beneath the Great Eye,Angels Fall First,1997,Astral Romance,4
