Season,Date,Team 1,Score 1,Team 2,Score 2,Venue
Season 10,"December 02, 2023",Gujarat Giants,38,Telugu Titans,32,"EKA Arena by TransStadia, Ahmedabad"
Season 10,"December 02, 2023",U Mumba,34,U.P. Yoddhas,31,"EKA Arena by TransStadia, Ahmedabad"
Season 10,"December 03, 2023",Tamil Thalaivas,42,Dabang Delhi K.C.,31,"EKA Arena by TransStadia, Ahmedabad"
Season 10,"December 03, 2023",Gujarat Giants,34,Bengaluru Bulls,31,"EKA Arena by TransStadia, Ahmedabad"
Season 10,"December 04, 2023",Puneri Paltan,37,Jaipur Pink Panthers,33,"EKA Arena by TransStadia, Ahmedabad"
Season 10,"December 04, 2023",Bengaluru Bulls,30,Bengal Warriors,32,"EKA Arena by TransStadia, Ahmedabad"
Season 10,"December 05, 2023",Gujarat Giants,39,U Mumba,37,"EKA Arena by TransStadia, Ahmedabad"
Season 10,"December 06, 2023",Telugu Titans,28,Patna Pirates,50,"EKA Arena by TransStadia, Ahmedabad"
Season 10,"December 06, 2023",U.P. Yoddhas,57,Haryana Steelers,27,"EKA Arena by TransStadia, Ahmedabad"
Season 10,"December 07, 2023",Bengal Warriors,28,Jaipur Pink Panthers,28,"EKA Arena by TransStadia, Ahmedabad"
Season 10,"December 07, 2023",Gujarat Giants,30,Patna Pirates,33,"EKA Arena by TransStadia, Ahmedabad"
Season 10,"December 08, 2023",Bengaluru Bulls,31,Dabang Delhi K.C.,38,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 10,"December 08, 2023",Puneri Paltan,43,U Mumba,32,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 10,"December 09, 2023",Bengaluru Bulls,32,Haryana Steelers,38,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 10,"December 09, 2023",U.P. Yoddhas,48,Telugu Titans,33,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 10,"December 10, 2023",Bengal Warriors,48,Tamil Thalaivas,38,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 10,"December 10, 2023",Dabang Delhi K.C.,33,Haryana Steelers,35,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 10,"December 11, 2023",Jaipur Pink Panthers,35,Gujarat Giants,32,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 10,"December 11, 2023",Bengaluru Bulls,38,U.P. Yoddhas,36,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 10,"December 12, 2023",Bengal Warriors,60,Patna Pirates,42,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 10,"December 13, 2023",Tamil Thalaivas,38,Telugu Titans,36,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 10,"December 13, 2023",Bengaluru Bulls,32,Jaipur Pink Panthers,30,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 10,"December 15, 2023",U Mumba,42,Patna Pirates,40,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 10,"December 15, 2023",Puneri Paltan,39,Haryana Steelers,44,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 10,"December 16, 2023",Puneri Paltan,49,Bengal Warriors,19,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 10,"December 16, 2023",Telugu Titans,40,Dabang Delhi K.C.,51,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 10,"December 17, 2023",Patna Pirates,28,Jaipur Pink Panthers,29,"Badminton Hall in Balewadi sports complex,Pune, Pune"
