,title,text,date,rating
0,excelente reencontro com amigos,"conheço todos, mas o melhor outback de Brasília é o do parkshopping. encontro com os amigos regado a chopp gelado, comida extraordinária costela e arroz tazmania dos deuses, e atendimento espetacular tbm!",18 de novembro de 2020,bubble_50
1,Steak com vibe Australiana,"O restaurante Outback Steakhouse do Parkshopping , em Brasília - DF, é o mesmo da rede internacional de mesmo nome,  com a característica principal de oferecer grelhados, massas e acompanhemos ao estilo australiano, ou seja  com uma certa pitada de pimenta, nada assim tão forte...que afaste aqueles que não gostem de pimenta, como é o meu caso,  mas o suficiente para dar o sabor característico da culinária da terra dos cangurus. 
Mas para mim o que chama mesmo a atenção é o ambiente interno, com um clima de  descontração e aconchego, ideal para a reunião de grupos de amigos,  famílias, casais, etc. A decoração com muita madeira,  iluminação com cor na faixa de 3000k e um som ambiente discreto,  garantem essa sensação de conforto aos seus clientes. Para mim os pratos mais conhecidos são também os mais gostosos como, por exemplo o Alice Springs Chicken, o Ribs on The Barbie - costela suína de respeito e a cebola gigante Bloomin' Onion. Eu recomendo!Mais",14 de setembro de 2020,bubble_40
2,Péssimo! Garçom empurra taxa que pelo ifood não tem ,"Fiquei totalmente dececionado. Ano passado comi o tal do foundue era muito melhor. O do delivery o queijo é aguado, sem gosto e todos as porções vem muito menos! Fora que, por uma falha de eu não consegui pagar pelo ifood, fui a uma loja...retirar e o garçom, praticamente, nos forçou a adicionar taxa serviço. Ou seja, ainda paguei R$ 10 a mais por um serviço que não teve, pois fui buscar. Péssima experiência. Não comprem!! Se arrependimento matasse de ter gastado grana nesse horrível, fora me jogarem taxa de serviço que não existe! Desrespeito total ! Péssima experiência. Não comprem!! Desrespeito total ! Mesmo quando tudo isso passar, vou fazer questão de ir menos ao outback. Darei prioridade aos restaurantes que passaram por esse momento com empatia aos clientes. Não a uma empresa que você paga caro e ainda o atendente te empurra um serviço não realizado. Pena outback. Você já foi muito melhor.Mais",21 de junho de 2020,bubble_10
3,PÉSSIMO HAMBÚRGUER!,"Hambúrguer seco e duro pedido no delivery!! Não peçam, não vale a pena ...cebolas vieram todas misturadas. Parecia uma gororoba!",22 de maio de 2020,bubble_10
4,"Ambiente frio, sem calor humano",Os funcionários parecem um bando de roborzinho. São bem intencionados más por duas vezes ao repassar o pedido de um atendente a outro o pedido veio errado e o garçom da mesa não se manisfestou em recolher para trocar. Foi minha primeira experiencia com essa...rede e não gostei.Eramos um grupo de 10 pessoas e nem todos saíram satisfeitos.Mais,9 de fevereiro de 2020,bubble_30
5,Otimo Lugar!!!,"Lugar super descontraído para confraternização entre amigos e um ambiente super aconchegante para reunir a família, garçons super atencioso o atendimento é muito rápido e a comida é ótima. Super indico.",22 de janeiro de 2020,bubble_50
6,Que dia!,"Pedimos um prato Kids e outra para minha esposa e eu. Primeiro veio o Kids, carne mal passada... Devolvemos. Depois chegou o nosso, carne tb mal passada, apesar de ter pedido bem passado. Meu prato veio sujo...devolvemos a carne e o prato sujo. Quando as...carnes voltaram estavam todas bem passadas, então pedi uma bebida, mas não tinham, apesar de estar no cardápio... enfim...Mais",4 de janeiro de 2020,bubble_20
7,Chopp maravilhoso! ,Chopp maravilhoso - sempre gelado. O atendimento foi bom mesmo o restaurante estando lotado. Ponto! Porém a comida não tava tão boa. O outback do pier 21 tá melhor.,4 de janeiro de 2020,bubble_40
8,Ótima comida,"É um ótimo restaurante e com atendimento super rápido. Eu super indico a costela barbecue, é muito boa.",26 de dezembro de 2019,bubble_40
9,Atendimento um horror. Tive,Atendimento um horror. Tive que pedir um chopp 3 vezes. Não trouxeram guardanapos e talheres para os pratos. Tambem tive que insistir muito. Não da para prestigiar um lugar desses.,24 de dezembro de 2019,bubble_10
